"timeMerged","stress_outbreak","BAs_shopping","pss_1","pss_2","pss_3","pss_4","pss_5","pss_6","pss_7","pss_8","pss_9","pss_10","pss_11","pss_12","pss_13","pss_14"
1,9,NA,3,2,4,2,2,2,2,2,3,2,4,3,2,2
1,6,NA,2,2,2,2,2,2,2,2,2,2,2,3,2,1
1,4,NA,1,2,2,2,5,2,2,1,2,2,1,3,5,2
1,8,NA,4,3,4,2,1,2,4,3,5,3,2,3,1,3
1,9,NA,3,4,2,2,2,2,2,1,2,2,3,5,1,1
1,10,NA,5,5,5,2,3,3,4,3,3,3,5,2,3,3
1,8,NA,4,3,4,4,4,4,4,3,4,4,2,3,4,3
1,8,NA,2,3,3,2,4,2,3,2,2,3,3,4,2,2
1,4,NA,2,2,1,2,2,2,2,1,2,2,1,3,2,1
1,8,NA,2,1,3,1,1,1,1,1,2,1,3,4,1,1
1,8,NA,1,4,3,2,2,2,3,2,2,2,2,4,2,2
1,4,NA,2,1,2,2,2,1,2,1,2,2,2,4,1,1
1,7,NA,5,3,4,2,2,1,3,3,3,2,5,4,3,3
1,9,NA,4,3,3,3,3,3,3,2,3,3,3,3,2,2
1,10,NA,3,4,2,5,5,4,4,2,5,5,2,2,3,1
1,6,NA,3,2,3,3,2,1,2,3,3,2,2,4,1,4
1,9,NA,4,4,5,4,3,3,4,3,4,3,4,4,4,4
1,8,NA,2,3,3,2,3,3,3,2,2,3,2,5,2,3
1,4,NA,4,1,5,3,5,1,4,5,4,1,1,4,5,1
1,2,NA,2,2,3,2,1,1,2,1,2,2,2,5,1,1
1,8,NA,3,3,3,2,3,2,3,2,2,3,2,4,1,3
1,6,NA,3,3,3,3,3,4,4,3,3,3,3,3,2,3
1,3,NA,3,3,3,2,2,4,3,2,2,2,3,4,2,1
1,8,NA,2,2,3,3,3,3,3,2,2,3,2,4,2,2
1,7,NA,2,2,2,2,2,2,2,2,2,2,3,5,1,1
1,10,NA,5,5,5,4,4,4,4,5,4,5,4,5,3,5
1,6,NA,4,3,3,2,2,4,4,2,3,4,2,4,3,3
1,3,NA,2,2,2,1,1,1,1,2,1,2,2,5,2,2
1,8,NA,3,3,2,2,3,3,4,2,3,3,3,4,3,3
1,5,NA,3,1,3,1,2,1,2,1,2,1,3,5,1,2
1,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,NA,3,2,3,2,2,2,3,3,2,2,3,5,3,3
1,7,NA,1,4,3,2,2,2,4,2,5,3,2,4,2,3
1,2,NA,2,1,2,1,2,2,3,3,3,2,2,3,2,2
1,4,NA,2,1,2,2,2,1,2,1,1,2,2,3,1,1
1,5,NA,2,2,2,2,4,2,3,2,2,2,2,3,3,3
1,10,NA,3,4,4,2,3,2,3,4,2,3,5,5,3,2
1,2,NA,2,2,3,3,2,3,2,1,3,2,2,3,1,1
1,2,NA,3,1,1,2,2,2,2,1,2,2,1,3,2,1
1,4,NA,2,2,2,3,3,2,3,2,2,3,2,3,3,2
1,9,NA,4,5,1,3,1,2,2,3,4,5,4,4,3,4
1,8,NA,3,2,3,3,4,4,3,2,4,4,2,3,2,4
1,5,NA,3,2,3,2,1,2,3,1,2,1,2,5,3,1
1,5,NA,2,1,3,1,2,2,3,2,2,2,2,3,2,1
1,8,NA,2,3,3,3,3,3,3,2,4,3,3,4,2,2
1,3,NA,1,2,2,2,2,2,2,1,2,1,2,3,1,1
1,4,NA,3,4,3,3,2,3,4,4,3,3,3,4,1,3
1,5,NA,3,1,3,2,2,2,2,2,2,2,1,1,1,2
1,6,NA,1,1,1,1,1,1,2,1,1,2,1,4,2,1
1,3,NA,1,1,1,5,5,5,5,1,5,5,1,1,5,1
1,9,NA,3,4,5,4,4,4,4,4,4,4,4,3,3,4
1,1,NA,1,3,2,1,1,1,3,1,2,3,4,5,2,1
1,7,NA,5,4,4,3,4,5,4,3,3,5,3,4,3,4
1,7,NA,2,2,2,2,2,2,2,1,2,2,1,4,2,3
1,3,NA,1,1,1,5,5,5,5,1,1,3,1,1,5,1
1,7,NA,3,4,5,2,2,3,3,5,2,1,4,5,3,5
1,8,NA,3,3,3,4,4,4,4,3,4,5,3,3,3,3
1,10,NA,3,4,3,3,3,4,2,3,4,2,3,3,4,2
1,10,NA,3,3,5,3,3,3,3,3,2,3,3,3,2,3
1,9,NA,2,3,3,2,2,2,3,2,3,3,5,4,3,1
1,8,NA,2,2,2,2,2,2,3,2,3,2,3,3,5,2
1,7,NA,2,3,4,3,2,3,4,4,2,3,3,3,2,4
1,6,NA,3,1,3,1,1,1,3,1,1,1,1,2,1,1
1,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,9,NA,3,5,4,5,4,5,5,3,3,5,3,3,2,3
1,4,NA,2,2,3,1,1,1,1,2,2,1,2,4,2,1
1,6,NA,3,2,3,2,3,2,3,2,2,2,2,2,1,2
1,8,NA,3,3,3,1,2,2,3,1,1,1,2,3,2,1
1,6,NA,1,1,1,2,2,5,2,1,5,2,1,4,5,1
1,7,NA,1,3,3,3,3,2,3,2,4,3,5,4,2,1
1,2,NA,2,2,2,2,2,3,2,2,3,2,2,3,1,2
1,7,NA,3,2,3,2,3,2,4,1,5,3,1,3,2,3
1,9,NA,3,3,3,3,3,2,3,1,3,2,2,3,2,1
1,9,NA,1,1,4,4,2,3,5,1,3,2,1,3,1,1
1,7,NA,2,2,3,2,2,2,2,1,1,4,1,3,2,1
1,3,NA,2,2,2,2,2,2,2,1,2,2,1,4,2,1
1,7,NA,2,3,3,2,2,2,3,2,2,3,3,3,2,2
1,8,NA,2,3,4,3,3,3,3,3,3,3,3,4,2,3
1,7,NA,3,3,3,2,2,2,3,2,2,2,3,4,1,2
1,8,NA,4,3,5,2,2,2,3,2,2,2,3,5,1,3
1,6,NA,3,3,4,3,3,2,3,3,3,3,3,4,2,3
1,2,NA,3,3,2,3,3,3,3,3,3,3,3,3,3,3
1,4,NA,3,1,1,2,2,2,2,1,2,2,2,3,2,1
1,8,NA,3,3,5,4,3,3,4,1,4,4,3,3,2,4
1,7,NA,3,2,3,2,2,2,3,3,2,3,2,3,2,2
1,4,NA,1,1,2,4,2,1,2,1,2,1,1,4,1,1
