"","session","feedback"
"1","ZdR4aDaGJREjwULfxfiD9t796-m96z2kVJXS9QXAZDOilVVXuXYQHk18iP2cKNzO",""
"2","0v2PdEJtuooIxQPXG_GbwgttdaskqX10XRzz9v9m4XLZCiadfqumJvebwooWBKYk",""
"3","uqdr_Z1czUH1Z7iI_fgCeI-js-2jr53QPG8WjEZKD4nGYyeOD4hOVUvKDmum6xDv",""
"4","uM4_F2OzWYrqEC-GKGXJls_TF_3-iq-tCz93l_JgTBstb8hxrcgtkjnuhaFPl4MK",""
"5","XDNanO_O4bT3D5bp2QdefvcuYud9a3PBtUzeCKxAtfUJaYHxOZb-z6R1Cu3p0I4P",""
"6","P02e-78mRkUKz2fF08yQpog6LVPnLeVMtXGx496DlItBA_n-MddgkqDK13nXCf7A",""
"7","PqPoVxg8B4MlS_1qX3phuySYGknr43-Xa76uXGfYtRBqvyyeJctNj2d82s8uw0wW",""
"8","JjqLUmqMKohubff54D-kqEuCv_m69vs9mBR2LCR0c5vuk8kdGM1H50IA2FVZLLjh",""
"9","4_Ln4M-6dsIepUJdEtggpz6r0N5HUax-XVyJru5RZbxJEv8D8XKTwhijt_LcndLS",""
"10","anS22eAsj0ldZDrEjSovtf-R-tBtvjNOyS2my1NxPYeISQ_JhVCKGu1kWoAS9pc6",""
"11","yYU_HDcosMs7yPWsQhoifVS3b4hxss0BLPOnMZ2CPJy_0IVPqdyaTGlqmKXAs_zy",""
"12","597CoMlK9k_kyHfyhjZJrTaRVZuf6AQQbQMwUos4P7Z93bgAejgI-Dr5yIh6Nfuj",""
"13","8C6OWEG2AhKIRTe6tuTi-ra8OX7Wmf2hIF5jNxiFjAnTZ78XTPVzdxI_lFVh92y4",""
"14","vGB2dMPZfc1JISo57n5pNhVSqyHpKZvJnkXCIp3l2fZTgK2x365eeggbxB-wcGRn",""
"15","Vi6L8MjoRgYBVUB7QAIkJDmAdu5YJ2lVZJK4APbEOmwIC1EYWv7SLyiY8nThOMW5",""
"16","PXICswN3PvAzs8OYGzJBJVP1vg0ki1qI3v1gzQ5N5PyaCxUznZxW_gANm0A284z5",""
"17","hh9b1XjecI9EU1B4k0zTwLTDWXjwRlz3pB78bwzHYhM81ZiIRBR-ixOrKzIH61be",""
"18","UYqugb64CJEXXnJlf0FXwdOpuouR8by5g5Ero4CZlIEAfVf_vnOgJnXtNyqfAUgt",""
"19","jZGxZ7OLoK9OqR73BpiY3PZyLSoWEPtzlts1SCZyfMOss_wD6NySNRlMaPSp8bqb","Thank you"
"20","kJgtdFx9nYxEJl2Goy7OhxM7a3BEoaefLJU_IKTCXdykWc7eefOz_Plm-hLrnq94","I think the most dangerous and contagious thing ""going around"" right now is paranoia..."
"21","g85cVBf7KUo1Udvk0MspPJatwaOSRfxbfISuTt3wnf0wfRdEQVt1rN8Grk310vvT",""
"22","ugkSyvLq5qhhfiHycxALFVvAkAi_o288IV4SulsyzDKhwR32h2lWPH_fvQJzoOCv",""
"23","Lgsfqrb-VWeYq-vHH1kDxJ0RBxXpXD4LIBUkMULBI50HAl8rvbPgHuqfbS6FCmyI",""
"24","7vcsML1AE5c1dQwMV2rkSDxaCs-9gcH6X9rr91KmUw26gfntR7sIe_haS6MP84_b",""
"25","2LoYbelr6w0ar9g_KcMdXQJrlTgi-tHnwwD6Q1Qvk9ZuInuB6E5zlnD4-eocLSZ3",""
"26","ktYzPdaDY9hCD8TQeXPshBWp86pyva6i5vmnZ-qd1AhoGkKU-yJ4AVkvhF7pQVb4",""
"27","sNekINh5QE-i3QS7204JJSJidiDxMoG2UnSkLt5eLhiPZ3RL-lVwFfnsXzCUqEUc",""
"28","q1RChjzeie2KhJ8XgLFOfroOWb6GG8lb4ywag3Ly7cdj2i_gIOBHa-wDQ0AWa_fa",""
"29","ZDw1cRDO8trfNJK4eYx72ls2BNaezPa4Y7I2eLTtBBzeTOpxmaX2jsJtqtoO_gsi",""
"30","rAa4cbbPmwVQYPKMVzCyHjgJTtLDwtoxwc9sdsXvwvVyCPnbJ6qoO8cd1fEdFXTM",""
"31","3RiKvFIfDNpOTDBf7SHr7K6QxpVfKsFLAenkmueC4krH7c7j0RdvJhEWLZJA3izH",""
"32","18b6lwQ_5WbbBQz49gjNInoZLJoCYsGv9FEcckLUTKTuXS9kwfyJzP8ri5AXiVtf","It was an interesting survey.  Happy to Participate."
"33","x11klBcGaAnE9DtaMr5fUI6lmf5Oa3beOQhrchD7pJFHqMW1py02d-p8uvXuHib6","Thank you, and have a nice day!"
"34","Px19jWiU-uLptvpLCcZAXbwBe9JPboriSICS4veqYPMUOCmYoe0Uy6wm-inPdhsR",""
"37","Gt70r9vbsOxzp5-qNzCBARytR4StpaJtToHcXLzV8hkNAm75Xqr8d6cQDGX8PnZ5",""
"38","W4lzO44FC98ZgDvbpRsIMFO6dbe6VrmAkg89PQ5qcDWCra1_rXxHe11_npJUQD-1",""
"39","xwlaxC62Rrz0YMTLBSb9CGowF5yVeEUHN6Z8TCr3dnbR2SxCW-kbPvhcP4IEtEYW",""
"40","PnISUERZ695o-bBeHMk2l2LxhVP_SIKVTfajNO6DzF8jwlHzdJz2tqg4b2GZJlHE",""
"41","_4sqOC9crijAGtz52n_LHkThU58cXh8tDhia_mq46rZ3Wg4YQ2PPWNcvNCWLe4Vu",""
"42","7ZPHFXQnob2wyFXEtiPkjuV6xuduG1_eKVc_TqhHoRMAy2F7ctmnWbNWa210Mto2","ty"
"43","fX3Urap7ltjeWg31aIf-OPaXDHGwb0BZZpOK7PvUA58VRScHgXKiaMRg1qf0MpZU",""
"44","HtqdckpY1xioaScG7yLcY-Wabx1DqqmkV5IqORr4HCKhPaaa3MuNUJLPqHKz1kSg",""
"45","zQVs6zKz0pejgMSOM7iofxs0Z-Ir6_gdXPq24dYQAL0N4RLoKjMxzbK5QNQDaEXN",""
"46","pKi5QwJXKMRlgrZjVJwtFDOl6f5epToB95wPxdQbwBcsQ5x_N0tlA0Cvd8vvgTZb","thanks"
"47","3gzWJRW3AUtQWJMtMceNLUjx2IWn17j48NmrMLSoMOo3gvSveZ8zNuor05kQuIss",""
"48","gCyCCWN1p17ZVwJu1KiDmCwKEXCArHD4qVbCd_p5jH4R8rzuB2ty30-k1PyPNM3z",""
"49","-H128l4VhqTdmV88nniw-WTTXnCoq8Ou08DzzUQ4YoO9pZlITaakfu0DDiaFXDhA",""
"50","JsBQZ2k_oFpaNS-a7MWN4PEdVdBhj2hjRn1Xr-evdCFYqKOpKrnqyn2SwJWsCrxA",""
"51","4ZO4-9nHHM43zsYER2Srj9uvrCn8QJvL7MIssMUUSIx_aFBUZwwJFOxikk1EHeZ8",""
"52","TGEryFxT8LAglGrFT12kkDjRF2wFGTUezfyBS47ESL1dOUGMokOLb1jaOc1SXnBs",""
